"province","city","cityType","GDP","POP","lon","lat"
"安徽","宿州市","地级市","1503","559.9","116.97","33.63"
"安徽","池州市","地级市","654","144.3","117.49142","30.66469"
"安徽","六安市","地级市","1218","477.2","116.49","31.73"
"安徽","亳州市","地级市","1183","510.4","115.77931","33.84461"
"安徽","黄山市","地级市","645","137.9","118.17494","30.12959"
"安徽","宣城市","地级市","1188","260.1","118.73","31.95"
"福建","福州市","地级市","7104.02","757","119.3","26.08"
"福建","厦门市","副省级市","4351.18","392","118.1","24.46"
"福建","莆田市","地级市","2045.19","289","119","25.44"
"福建","三明市","地级市","2136.06","255","117.61","26.23"
"福建","泉州市","地级市","7548.01","858","118.58","24.93"
"福建","漳州市","地级市","3563.48","505","117.35","24.52"
"福建","宁德市","地级市","1793.87","289","119.52","26.65"
"福建","南平市","地级市","1626.1","266","118.11","27.34"
"福建","龙岩市","地级市","2167.49","263","117.01","25.12"
"江西","南昌市","地级市","5003.19","524.02","115.89","28.68"
"江西","景德镇市","地级市","878.25","162.98","117.22","29.3"
"江西","萍乡市","地级市","1070.5","189","113.85","27.6"
"江西","九江市","地级市","2413.63","480.69","115.97","29.71"
"江西","新余市","地级市","1108.51","116.08","114.92","27.81"
"江西","赣州市","地级市","2524.01","850.75","114.92","25.85"
"江西","吉安市","地级市","1633.47","488.12","114.97","27.12"
"江西","上饶市","地级市","2055.45","668.8","117.97","28.47"
"江西","鹰潭市","地级市","800.8","114.76","117.02","28.23"
"江西","宜春市","地级市","2021.85","549.33","114.38","27.81"
"江西","抚州市","地级市","1354.57","397.66","116.34","28"
"山东","济南市","副省级市","7201.96","713.2","117","36.65"
"山东","青岛市","副省级市","11037.28","909.7","120.33","36.07"
"山东","淄博市","地级市","4781.32","464.2","118.05","36.78"
"山东","枣庄市","地级市","2315.91","387.8","117.57","34.86"
"山东","东营市","地级市","3801.78","211.06","118.49","37.46"
"山东","烟台市","地级市","7338.95","701.41","121.39","37.52"
"山东","潍坊市","地级市","5858.63","927.72","119.1","36.62"
"山东","济宁市","地级市","4650.57","829.92","116.59","35.38"
"山东","泰安市","地级市","3585.28","560.08","117.13","36.18"
"山东","威海市","地级市","3480.1","280.53","122.1","37.5"
"山东","日照市","地级市","2002.65","288","119.46","35.42"
"山东","莱芜市","地级市","896.02","135.16","117.67","36.19"
"山东","临沂市","地级市","4345.39","1031.16","118.35","35.05"
"山东","德州市","地级市","3140.18","574.23","116.29","37.45"
"山东","聊城市","地级市","3064.06","597.06","115.97","36.45"
"山东","滨州市","地级市","2612.92","385.9","118.03","37.36"
"山东","菏泽市","地级市","2820.18","850.03","115.43","35.24"
"河南","郑州市","地级市","9130.2","956.9","113.65","34.76"
"河南","开封市","地级市","1935","454.26","114.35","34.79"
"河南","洛阳市","地级市","4343.1","674.3","112.44","34.7"
"河南","平顶山市","地级市","2015.3","496","113.29","33.75"
"河南","安阳市","地级市","2268.1","511.7","114.35","36.1"
"河南","鹤壁市","地级市","832.6","160.6","114.17","35.9"
"河南","新乡市","地级市","2384.8","572.1","113.85","35.31"
"河南","焦作市","地级市","2342.8","353.4","113.21","35.24"
